,stop_id,stop_name,geometry,relative_position
0,80216,Wilshire / Western Station,POINT (-118.308756 34.061689),0.013007261026178139
1,80215,Wilshire / Normandie Station,POINT (-118.301458 34.061753),0.09763577724849215
2,80209,Wilshire / Vermont Station,POINT (-118.290082 34.062701),0.23579417313109277
3,80210,Westlake / MacArthur Park Station,POINT (-118.274879 34.056368),0.43178320803201803
4,80211,7th Street / Metro Center Station - Metro Red & Purple Lines,POINT (-118.258682 34.048634),0.6411988556459467
5,80212,Pershing Square Station,POINT (-118.251259 34.049316),0.7426543647891627
6,80213,Civic Center / Grand Park Station,POINT (-118.246057 34.0549),0.8311442661751257
7,80214,Union Station - Metro Red & Purple Lines,POINT (-118.234249 34.056197),0.9855060741893188
