,stop_id,stop_name,geometry,relative_position
0,80214,Union Station - Metro Red & Purple Lines,POINT (-118.234249 34.056197),0.005513608886407608
1,80213,Civic Center / Grand Park Station,POINT (-118.246057 34.0549),0.062425107475526244
2,80212,Pershing Square Station,POINT (-118.251259 34.049316),0.09461224073069063
3,80211,7th Street / Metro Center Station - Metro Red & Purple Lines,POINT (-118.258682 34.048634),0.13079734610196705
4,80210,Westlake / MacArthur Park Station,POINT (-118.274879 34.056368),0.2069404197136057
5,80209,Wilshire / Vermont Station,POINT (-118.290082 34.062701),0.27844428350720196
6,80208,Vermont / Beverly Station,POINT (-118.291686 34.076526),0.3436315656035279
7,80207,Vermont / Santa Monica Station,POINT (-118.29173 34.08991),0.4000771566668474
8,80206,Vermont / Sunset Station,POINT (-118.291756 34.097708),0.43296439397171615
9,80205,Hollywood / Western Station,POINT (-118.308117 34.101737),0.5138973435822803
10,80204,Hollywood / Vine Station,POINT (-118.32518 34.10163),0.5858607035964767
11,80203,Hollywood / Highland Station,POINT (-118.338549 34.101547),0.6422436831360779
12,80202,Universal / Studio City Station,POINT (-118.362699 34.140002),0.8511230406079907
13,80201,North Hollywood Station,POINT (-118.376808 34.168504),0.9886028758170475
