,stop_id,stop_name,geometry,relative_position
0,80201,North Hollywood Station,POINT (-118.376808 34.168504),0.011481427014228171
1,80202,Universal / Studio City Station,POINT (-118.362699 34.140002),0.14865304545206207
2,80203,Hollywood / Highland Station,POINT (-118.338549 34.101547),0.3588269453064603
3,80204,Hollywood / Vine Station,POINT (-118.32518 34.10163),0.4152410658236936
4,80205,Hollywood / Western Station,POINT (-118.308117 34.101737),0.48724201624864344
5,80206,Vermont / Sunset Station,POINT (-118.291756 34.097708),0.5674176047637909
6,80207,Vermont / Santa Monica Station,POINT (-118.29173 34.08991),0.6003228501652597
7,80208,Vermont / Beverly Station,POINT (-118.291686 34.076526),0.6567993483303199
8,80209,Wilshire / Vermont Station,POINT (-118.290082 34.062701),0.7219057514939154
9,80210,Westlake / MacArthur Park Station,POINT (-118.274879 34.056368),0.7932260966939988
10,80211,7th Street / Metro Center Station - Metro Red & Purple Lines,POINT (-118.258682 34.048634),0.8694323818347695
11,80212,Pershing Square Station,POINT (-118.251259 34.049316),0.9063520081710195
12,80213,Civic Center / Grand Park Station,POINT (-118.246057 34.0549),0.9385534541180264
13,80214,Union Station - Metro Red & Purple Lines,POINT (-118.234249 34.056197),0.9947256651748669
